ds,y
2024-02-08,20.5
2024-02-09,23.5
2024-02-09,24.5
2024-02-09,25.65
2024-02-10,20.75
2024-02-10,22.875
2024-02-11,23.1
2024-02-11,23.5
2024-02-12,20.65
2024-02-14,25.1
2024-02-15,20.450000000000003
2024-02-15,25.25
2024-02-16,20.65
2024-02-16,20.5
2024-02-16,20.65
2024-02-17,20.299999999999997
2024-02-19,25.1
2024-02-19,21.75
2024-02-19,20.65
2024-02-20,25.4
2024-02-21,21.5
2024-02-22,21.15
2024-02-23,21.75
2024-02-23,24.625
2024-02-23,24.6
2024-02-24,20.549999999999997
2024-02-26,21.05
2024-02-26,21.425
2024-02-27,23.55
2024-02-27,20.15
2024-02-27,23.0
2024-02-29,23.75
2024-02-29,25.1
2024-02-29,23.55
2024-03-01,20.65
2024-03-02,25.25
2024-03-02,25.1
2024-03-02,25.25
2024-03-04,25.25
2024-03-04,24.5
2024-03-04,25.25
2024-03-05,23.75
2024-03-06,24.35
2024-03-06,21.75
2024-03-06,25.4
2024-03-07,25.4
2024-03-08,23.55
2024-03-08,23.75
2024-03-09,25.25
2024-03-09,21.425
2024-03-10,22.7
2024-03-11,20.575
2024-03-11,23.65
2024-03-11,27.1
2024-03-11,21.3
2024-03-12,25.3
2024-03-12,23.3
2024-03-14,21.1
2024-04-04,23.35
2024-04-04,23.0
2024-04-05,24.25
2024-04-06,20.8
2024-04-06,23.25
2024-04-06,20.5
2024-04-08,22.1
2024-04-08,20.75
2024-04-08,20.25
2024-04-08,21.775
2024-04-09,23.75
2024-04-09,20.6
2024-04-10,23.0
2024-04-10,25.1
2024-04-11,23.3
2024-04-11,20.950000000000003
2024-04-12,22.25
2024-04-12,25.65
2024-04-13,23.55
2024-04-13,20.15
2024-04-14,20.450000000000003
2024-04-15,22.1
2024-04-15,21.1
2024-04-15,23.25
2024-04-15,25.4
2024-04-16,21.3
2024-04-17,20.75
2024-04-17,24.625
2024-04-18,21.875
2024-04-18,25.200000000000003
2024-04-18,25.25
2024-04-19,27.1
2024-04-19,20.5
2024-04-19,21.75
2024-04-19,20.299999999999997
2024-04-19,20.950000000000003
2024-04-20,25.0
2024-04-20,23.1
2024-04-20,22.875
2024-04-22,24.625
2024-04-22,24.15
2024-04-22,24.625
2024-04-22,21.75
2024-04-23,25.25
2024-04-23,21.3
2024-04-24,23.5
2024-04-24,25.0
2024-04-24,23.75
2024-04-24,20.65
2024-04-25,20.65
2024-04-25,24.625
2024-04-25,20.55
2024-04-26,24.8
2024-04-27,20.15
2024-04-27,20.5
2024-04-27,20.925
2024-04-27,25.25
2024-04-27,23.5
2024-04-28,20.5
2024-04-28,24.5
2024-04-28,23.3
2024-04-29,25.2
2024-04-29,23.15
2024-04-30,25.4
2024-04-30,25.4
2024-04-30,21.5
2024-05-01,24.0
2024-05-01,20.5
2024-05-01,24.625
2024-05-02,25.05
2024-05-02,23.0
2024-05-04,20.15
2024-05-04,25.0
2024-05-04,20.125
2024-05-04,20.25
2024-05-04,21.5
2024-05-06,24.875
2024-05-06,25.25
2024-05-07,20.5
2024-05-07,20.6
2024-05-08,24.625
2024-05-09,25.1
2024-05-10,23.55
2024-05-10,23.2
2024-05-10,23.75
2024-05-10,25.25
2024-05-11,24.25
2024-05-12,21.5
2024-05-13,23.25
2024-05-13,24.5
2024-05-13,20.549999999999997
2024-05-14,20.65
2024-05-14,25.0
2024-05-14,21.75
2024-05-15,23.75
2024-05-16,23.15
2024-05-17,21.05
2024-05-18,23.125
2024-05-19,21.1
2024-05-20,23.2
2024-05-20,25.05
2024-05-21,23.0
2024-05-22,20.55
2024-05-22,21.875
2024-05-23,20.5
2024-05-23,23.75
2024-05-23,20.549999999999997
2024-05-24,20.65
2024-05-24,21.1
2024-05-25,25.3
2024-05-25,21.75
2024-05-26,20.5
2024-05-27,24.5
2024-05-29,23.25
2024-05-29,20.15
2024-05-30,21.75
2024-05-30,20.15
2024-05-31,25.05
2024-06-04,23.25
2024-06-04,20.65
2024-06-05,20.25
2024-06-05,20.450000000000003
2024-06-07,23.1
2024-06-07,23.75
2024-06-11,20.5
2024-06-14,23.0
2024-06-15,24.25
2024-06-15,23.55
2024-06-16,20.950000000000003
2024-06-16,21.75
2024-06-18,20.6
2024-06-20,20.549999999999997
2024-06-20,24.625
2024-06-21,20.5
2024-06-22,21.5
2024-06-22,21.3
2024-06-23,21.75
2024-06-23,20.15
2024-06-24,23.5
2024-06-25,24.8
2024-06-25,24.25
2024-06-26,25.1
2024-06-27,24.6
2024-06-27,24.8
2024-06-29,22.7
2024-06-30,23.1
2024-07-05,23.0
2024-07-05,21.0
2024-07-06,24.625
2024-07-07,20.75
2024-07-08,25.0
2024-07-08,20.950000000000003
2024-07-09,24.25
2024-07-10,22.7
2024-07-13,25.0
2024-07-13,20.15
2024-07-13,23.35
2024-07-14,21.75
2024-07-14,21.775
2024-07-15,23.75
2024-07-15,20.6
2024-07-16,23.55
2024-07-16,20.65
2024-07-16,25.1
2024-07-18,21.5
2024-07-19,25.3
2024-07-19,20.5
2024-07-20,23.55
2024-07-21,20.95
2024-07-21,23.75
2024-07-22,25.25
2024-07-22,25.65
2024-07-23,21.775
2024-07-23,25.1
2024-07-24,21.775
2024-07-24,21.5
2024-07-25,23.75
2024-07-25,21.5
2024-07-26,24.5
2024-07-26,25.1
2024-07-27,22.65
2024-07-28,20.950000000000003
2024-07-29,23.3
2024-07-29,23.15
2024-08-04,23.125
2024-08-04,23.3
2024-08-04,25.25
2024-08-05,21.75
2024-08-05,20.299999999999997
2024-08-06,20.15
2024-08-07,25.0
2024-08-08,25.1
2024-08-09,20.65
2024-08-10,23.15
2024-08-10,20.950000000000003
2024-08-11,25.2
